NC_078312	2848071	['Boa constrictor']	 Hartmanivirus brazilense	SetPatVet virus 1
NC_077807	3052303	['Chlorocebus aethiops', 'Homo sapiens', 'Mesocricetus auratus', 'Mus musculus']	Mammarenavirus choriomeningitidis	Mammarenavirus choriomeningitidis
NC_079107	3070833	['Mastomys natalensis']	 Mammarenavirus dhati-welelense	Dhati Welel virus
NC_079037	3070918	['Boa constrictor']	 Hartmanivirus quadrati	big electron-dense squares virus 1
NC_079032	2970745	['Boa constrictor']	 Hartmanivirus unni	Universidad Nacional virus 1
NC_079022	2824520	['root']	 unclassified Arenaviridae	Inner Mongolia sediment arena-like virus
NC_078697	3070923	['Mus triton']	 Mammarenavirus kwanzaense	Kwanza virus
NC_078696	3070199	['Micaelamys namaquensis']	 Mammarenavirus bituense	Bitu virus
NC_078316	2847049	['Boa constrictor']	 Hartmanivirus patriae	andere Heimat virus 1
NC_078292	2847814	['Grammomys macmillani']	 Mammarenavirus kitaleense	Kitale virus
NC_078285	2587489	['Oncorhynchus tshawytscha']	 Antennavirus salmonis	Salmon pescarenavirus 1
NC_078106	2847047	['root']	 Mammarenavirus alashanense	Alxa virus
NC_078102	2201415	['Apodemus chevrieri']	 Mammarenavirus lijiangense	Lijiang virus
NC_055445	2447921	['Boa constrictor']	 Hartmanivirus turici	Veterinary Pathology Zurich virus 1
NC_055443	2447920	['Boa constrictor']	 Hartmanivirus scholae	Old schoolhouse virus 1
NC_055442	2447916	['Boa constrictor']	 Hartmanivirus helvetiae	Dante Muikkunen virus 1
NC_055439	2267561	['Mesomys hispidus', 'Neacomys spinosus', 'Euryoryzomys macconnelli', 'Hylaeamys yunganus', 'Hylaeamys perenensis', 'Oecomys sp.', 'Pseudohydromys musseri']	 Mammarenavirus xapuriense	Xapuri virus
NC_040762	2850049	['Oligoryzomys mattogrossae']	 Mammarenavirus aporeense	Apore virus
NC_040464	2116467	['Antennarius striatus']	 Antennavirus hirsutum	Wenling frogfish arenavirus 2
NC_040427	2116466	['Antennarius striatus']	 Antennavirus striale	Wenling frogfish arenavirus 1
NC_043444	1672380	['Boa constrictor']	 Hartmanivirus haartmani	Haartman Institute snake virus
NC_039009	3052326	['Mus caroli']	Mammarenavirus ryukyuense	Mammarenavirus ryukyuense
NC_039005	1672385	['Boa constrictor']	 Reptarenavirus giessenae	University of Giessen virus
NC_039012	2010246	['Praomys']	 Mammarenavirus cameroonense	Souris virus
NC_039007	1672384	['Boa constrictor']	 Reptarenavirus commune	Tavallinen suomalainen mies virus
NC_038367	1518603	['Grammomys sp.']	 Mammarenavirus solweziense	Arenaviridae sp. 13ZR68
NC_038364	3052313	['Bandicota sp.']	Mammarenavirus loeiense	Mammarenavirus loeiense
NC_027135	3052321	['Micaelamys namaquensis']	Mammarenavirus okahandjaense	Mammarenavirus okahandjaense
NC_027134	3052318	['Micaelamys namaquensis']	Mammarenavirus marientalense	Mammarenavirus marientalense
